Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.02,发行股份购买资产获无条件通过,15972,0.2,0.27,16.47,12.84,17.94,1,0.39,0.41,45447.13,0.09,0.3,0.52,0.16,3.33,12.87,5.25,928.92,1.78,0.55,1,0.01,0,0.38,0.09,0.02,0
0.02,发行股份购买资产获有条件通过,4443,0.27,0.33,15.37,11.68,9.04,0.35,0.23,0.13,8618.22,0.06,0.05,1.06,1.85,0.91,2.76,5.36,17.93,1.64,0.56,1.03,0.23,0,0.69,0.45,0.11,0.04
0.045,发行股份购买资产获有条件通过,1417,0.63,0.29,34.65,14.88,6.2,0.29,0.4,0.31,4365.33,0.02,1.14,1.21,0.8,1.03,0,16.32,44.8,113.26,0.01,1.01,0.02,0,0.74,0.93,0.51,0.28
0.01,发行股份购买资产获无条件通过,5349,0.24,0.25,19.22,13.88,13.56,0.51,0.14,0.07,26041.63,0.09,0.22,0.26,0.23,2.58,16.13,5.27,1087.77,1.37,0.73,1.02,0.01,0,0.23,0.06,0,0
0.005,发行股份购买资产获无条件通过,14478,0.18,0.3,15.01,11.94,20.32,0.51,0.08,0.14,67302.66,0.09,0,0.15,0.16,2.29,17.71,3.71,147.85,1.61,0.6,1.03,0.05,0.01,0.23,0.09,0.04,0
0.005,发行股份购买资产获无条件通过,14798,0.2,0.32,14.19,10.77,16.07,0.51,0.05,0.07,38524.88,0.09,0,0.28,0.17,2.28,16.21,3.24,620.62,1.23,0.81,1.02,0.02,0,0.43,0.07,0.04,0
0.025,发行股份购买资产获无条件通过,9598,0.67,0.41,22.55,17.09,27.03,0.22,0.15,0.06,59208.55,0.07,-0.08,0.08,-0.14,0.46,13.49,8.1,3.68,0.88,0.39,1.25,0.27,0.16,0.13,0.72,0.15,0.02
0.03,发行股份购买资产获有条件通过,500,1,0.34,55.31,11.62,6.43,1,0.19,0.42,1562.5,0.04,0.43,0.45,7.93,1.72,0,6.68,18.91,7.59,0.12,1.13,0.08,0,0.37,0.33,0.08,0.05
0.03,发行股份购买资产获有条件通过,385,1.33,0.34,87.86,11.66,8.17,0.4,0.38,0.2,1619.1,0.04,4.35,5.47,1.92,2.67,34.39,59.52,145.95,1.1,0.58,1.32,0.05,0,0.34,0.24,0.07,0.02
0.016,发行股份购买资产获有条件通过,164,2.76,0.2,609.82,21.74,24.13,0.38,0.15,0.11,21015.02,0,0.57,0.78,3.08,0.59,5.41,4.85,2.05,1.19,0.61,1.78,0.7,0,0.01,0.28,0.11,0.06
0.02,发行股份购买资产获无条件通过,732.14,0.75,0.24,54.66,16.01,9.11,0.5,0.18,0.17,1870.39,0,0.22,0.64,0.59,1.7,3.93,33.07,64.7,1.29,0.74,1.03,0.15,0,0.49,0.2,0.04,0.07
